date	model	unavail
20201201	올 뉴 아반떼 (G)	2 
20201202	올 뉴 아반떼 (G)	2 
20201203	올 뉴 아반떼 (G)	2 
20201204	올 뉴 아반떼 (G)	2 
20201205	올 뉴 아반떼 (G)	2 
20201206	올 뉴 아반떼 (G)	2 
20201207	올 뉴 아반떼 (G)	2 
20201201	쏘울 부스터 (G)	2 
20201202	쏘울 부스터 (G)	2 
20201203	쏘울 부스터 (G)	2 
20201204	쏘울 부스터 (G)	2 
20201205	쏘울 부스터 (G)	2 
20201206	쏘울 부스터 (G)	1 
20201207	쏘울 부스터 (G)	1 
20201208	쏘울 부스터 (G)	1 
20201209	쏘울 부스터 (G)	1 
20201201	더 올 뉴 벨로스터 (G)	1 
20201202	더 올 뉴 벨로스터 (G)	1 
20201203	더 올 뉴 벨로스터 (G)	1 
20201204	더 올 뉴 벨로스터 (G)	1 
20201205	더 올 뉴 벨로스터 (G)	1 
20201206	더 올 뉴 벨로스터 (G)	1 
20201207	더 올 뉴 벨로스터 (G)	1 
20201208	더 올 뉴 벨로스터 (G)	1 
20201209	더 올 뉴 벨로스터 (G)	1 
20201210	더 올 뉴 벨로스터 (G)	1 
20201211	더 올 뉴 벨로스터 (G)	1 
20201212	더 올 뉴 벨로스터 (G)	1 
20201213	더 올 뉴 벨로스터 (G)	1 
20201214	더 올 뉴 벨로스터 (G)	1 
20201215	더 올 뉴 벨로스터 (G)	1 
20201216	더 올 뉴 벨로스터 (G)	1 
20201217	더 올 뉴 벨로스터 (G)	1 
20201218	더 올 뉴 벨로스터 (G)	1 
20201219	더 올 뉴 벨로스터 (G)	1 
20201220	더 올 뉴 벨로스터 (G)	1 
20201221	더 올 뉴 벨로스터 (G)	1 
20201222	더 올 뉴 벨로스터 (G)	1 
20201223	더 올 뉴 벨로스터 (G)	1 
20201224	더 올 뉴 벨로스터 (G)	1 
20201225	더 올 뉴 벨로스터 (G)	1 
20201226	더 올 뉴 벨로스터 (G)	1 
20201227	더 올 뉴 벨로스터 (G)	1 
20201228	더 올 뉴 벨로스터 (G)	1 
20201229	더 올 뉴 벨로스터 (G)	1 
20201230	더 올 뉴 벨로스터 (G)	1 
20201231	더 올 뉴 벨로스터 (G)	1 
20210101	더 올 뉴 벨로스터 (G)	1 
20210102	더 올 뉴 벨로스터 (G)	1 
20210103	더 올 뉴 벨로스터 (G)	1 
20210104	더 올 뉴 벨로스터 (G)	1 
20210105	더 올 뉴 벨로스터 (G)	1 
20210106	더 올 뉴 벨로스터 (G)	1 
20210107	더 올 뉴 벨로스터 (G)	1 
20210108	더 올 뉴 벨로스터 (G)	1 
20210109	더 올 뉴 벨로스터 (G)	1 
20210110	더 올 뉴 벨로스터 (G)	1 
20210111	더 올 뉴 벨로스터 (G)	1 
20210112	더 올 뉴 벨로스터 (G)	1 
20210113	더 올 뉴 벨로스터 (G)	1 
20210114	더 올 뉴 벨로스터 (G)	1 
20210115	더 올 뉴 벨로스터 (G)	1 
20210116	더 올 뉴 벨로스터 (G)	1 
20210117	더 올 뉴 벨로스터 (G)	1 
20210118	더 올 뉴 벨로스터 (G)	1 
20210119	더 올 뉴 벨로스터 (G)	1 
20210120	더 올 뉴 벨로스터 (G)	1 
20210121	더 올 뉴 벨로스터 (G)	1 
20210122	더 올 뉴 벨로스터 (G)	1 
20210123	더 올 뉴 벨로스터 (G)	1 
20210124	더 올 뉴 벨로스터 (G)	1 
20210125	더 올 뉴 벨로스터 (G)	1 
20210126	더 올 뉴 벨로스터 (G)	1 
20210127	더 올 뉴 벨로스터 (G)	1 
20210128	더 올 뉴 벨로스터 (G)	1 
20210129	더 올 뉴 벨로스터 (G)	1 
20210130	더 올 뉴 벨로스터 (G)	1 
20210131	더 올 뉴 벨로스터 (G)	1 
