date	seasonality
20201201	1
20201202	1
20201203	2
20201204	2
20201205	2
20201206	2
20201207	1
20201208	1
20201209	1
20201210	2
20201211	2
20201212	2
20201213	2
20201214	1
20201215	1
20201216	1
20201217	2
20201218	2
20201219	2
20201220	2
20201221	1
20201222	1
20201223	3
20201224	3
20201225	3
20201226	2
20201227	2
20201228	1
20201229	1
20201230	3
20201231	3
20210101	3
20210102	3
20210103	3
20210104	1
20210105	1
20210106	1
20210107	2
20210108	2
20210109	2
20210110	2
20210111	1
20210112	1
20210113	1
20210114	2
20210115	2
20210116	2
20210117	2
20210118	1
20210119	1
20210120	1
20210121	2
20210122	2
20210123	2
20210124	2
20210125	1
20210126	1
20210127	1
20210128	2
20210129	2
20210130	2
20210131	2
20210201	1
20210202	1
20210203	1
20210204	2
20210205	2
20210206	2
20210207	2
20210208	1
20210209	1
20210210	3
20210211	3
20210212	3
20210213	3
20210214	3
20210215	1
